,stock_code,corp_name
0,000370,한화손해보험
1,000400,롯데손해보험
2,000540,흥국화재
3,000650,천일고속
4,000810,삼성화재해상보험
5,001200,유진증권
6,001270,부국증권
7,001290,상상인증권
8,001360,삼성제약
9,001420,태원물산
10,001450,현대해상
11,001500,현대차증권
12,001510,SK증권
13,001550,조비
14,001720,신영증권
15,001740,SK네트웍스
16,001750,한양증권
17,001880,DL건설
18,002210,동성제약
19,002420,세기상사
20,002600,조흥
21,002690,동일제강
22,002700,신일전자
23,002760,보락
24,002780,진흥기업
25,002960,한국쉘석유
26,003120,일성신약
27,003350,한국화장품제조
28,003460,유화증권
29,003470,유안타증권
30,003520,영진약품
31,003530,한화투자증권
32,003540,대신증권
33,003680,한성기업
34,003690,코리안리
35,003830,대한화섬
36,004310,현대약품
37,004380,삼익THK
38,004410,서울식품공업
39,004440,삼일씨엔에스
40,004700,조광피혁
41,005030,부산주공
42,005070,코스모신소재
43,005500,삼진제약
44,005690,파미셀
45,005750,대림비앤코
46,005830,DB손해보험
47,005870,휴니드테크놀러지스
48,005940,NH투자증권
49,006090,사조오양
50,006220,제주은행
51,006380,카프로
52,006390,한일현대시멘트
53,006800,미래에셋증권
54,007110,일신석재
55,007280,한국특강
56,007390,네이처셀
57,008260,NI스틸
58,008420,문배철강
59,008560,메리츠증권
60,009190,대양금속
61,009320,대우부품
62,009460,한창제지
63,009520,포스코엠텍
64,009770,삼정펄프
65,010050,우리종금
66,010420,한솔피엔에스
67,010660,화천기계
68,010820,퍼스텍
69,011150,CJ씨푸드
70,011420,갤럭시아에스엠
71,011500,한농화성
72,011930,신성이엔지
73,012280,영화금속
74,012690,모나리자
75,013000,세우글로벌
76,013700,까뮤이앤씨
77,014160,대영포장
78,014680,한솔케미칼
79,014710,사조씨푸드
80,015020,이스타코
81,015260,에이엔피
82,015590,큐로
83,016090,대현
84,016360,삼성증권
85,016600,큐캐피탈
86,016610,DB금융투자
87,016800,퍼시스
88,018470,조일알미늄
89,019570,리더스 기술투자
90,021320,KCC건설
91,021880,메이슨캐피탈
92,023000,삼원강재
93,023350,한국종합기술
94,023450,동남합성
95,023760,한국캐피탈
96,023960,에쓰씨엔지니어링
97,024090,디씨엠
98,024110,기업은행
99,025820,이구산업
100,025860,남해화학
101,025890,한국주강
102,026940,부국철강
103,027360,아주IB투자
104,027970,세하
105,029780,삼성카드
106,029960,코엔텍
107,030610,교보증권
108,032560,황금에스티
109,032830,삼성생명
110,033270,유나이티드
111,034300,신세계건설
112,034830,한국토지신탁
113,035250,강원랜드
114,035510,신세계I&C
115,036030,케이티알파
116,036460,한국가스공사
117,036560,영풍정밀
118,036670,KCI
119,037710,광주신세계
120,039490,키움증권
121,041190,우리기술투자
122,043610,지니뮤직
123,051630,진양화학
124,055550,신한지주
125,058470,리노공업
126,058860,KTis
127,060370,KT서브마린
128,064760,티씨케이
129,066570,LG전자
130,067830,세이브존I&C
131,069460,대호에이엘
132,069730,DSR제강
133,071050,한국금융지주
134,071840,롯데하이마트
135,078020,이베스트투자증권
136,082640,동양생명
137,083420,그린케미칼
138,084680,이월드
139,084870,티비에이치글로벌
140,085620,미래에셋생명
141,086790,하나금융지주
142,088350,한화생명
143,090370,메타랩스
144,096770,SK이노베이션
145,101140,인바이오젠
146,104700,한국철강
147,120030,조선선재
148,123890,한국자산신탁
149,133820,화인베스틸
150,134380,미원화학
151,134790,시디즈
152,138040,메리츠금융지주
153,138930,BNK금융지주
154,139130,DGB금융지주
155,141080,레고켐바이오
156,175330,JB금융지주
157,190650,코리아에셋투자증권
158,213420,덕산네오룩스
159,214390,경보제약
160,222080,씨아이에스
161,235980,메드팩토
162,241560,두산밥캣
163,264900,크라운제과
164,267850,아시아나IDT
165,268600,셀리버리
166,272450,진에어
167,272550,삼양패키징
168,273060,와이즈버즈
169,281820,케이씨텍
170,293480,하나제약
171,293580,나우IB
172,298380,에이비엘바이오
173,306200,세아제강
174,316140,우리금융지주
175,317400,자이에스앤디
176,336260,두산퓨얼셀
